Observation ID,Canonical Event ID,Source Dataset,Source Record ID,Date,Event Family,Event Type,Subtype,Mode,Region / Theatre,Country,Location,Latitude,Longitude,Subject Name,Subject Identifier,Asset Type,Actor / Attribution,Description,Outcome / Damage,Fatalities,Injuries,Operational Impact,Trade Impact,Severity,Confidence,Source Reference,Resolution Status,Notes
OBS_000169,,ukmto_warnings_2026,097-26,2026-07-24,Maritime Security Warning,Suspicious Activity,Conflict / maritime security attack,Maritime,,,,,,,,,,UKMTO has received a report of an incident in the southern Red Sea. It has been reported to UKMTO that a tanker witnessed a splash from an unknown projectile in close proximity to the vessel. Reports confirm that the vessel and crew are safe. Environmental impact is unconfirmed at present.,,,,Offshore / regional maritime,,,High,20260726-UKMTO_WARNING_SUSPICIOUS_ACTIVITY_097_26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000170,,ukmto_warnings_2026,101-26,2026-07-31,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 11NM northeast off Lima, Oman. The CSO of a tanker reports the vessel has been struck by an unknown projectile which has caused damage to the engine room. The tanker is not under command and the regional Coast Guard have been informed. There are no reported casualties or environmental impact.",,,,Offshore / regional maritime,,,High,20260801-UKMTO_WARNING_101_26_ATTACK 1.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000171,,ukmto_warnings_2026,102-26,2026-07-31,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 21NM northeast of Khasab, Oman. The Master of a tanker reports seeing a large splash and explosion in close proximity to the vessel. No damage to the vessel has been reported at this time.",,,,Offshore / regional maritime,,,High,20260801-UKMTO_WARNING_102_26_ATTACK.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000172,,ukmto_warnings_2026,104-26,2026-08-03,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 20NM northeast of Al Khasab, Oman. A cargo vessel has broadcasted on VHF 16 that they have been hit by an unknown projectile. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260803-UKMTO_WARNING_104-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000173,,ukmto_warnings_2026,105-26,2026-08-05,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a time-late report of an incident 9NM southwest of Al Mukha, Yemen. The CSO of the vessel has reported that the vessel was attacked by an Uncrewed Surface Vessel which caused a fire onboard. The crew have been rescued by local authorities and are safe and well. The vessel has been reported as sunk.",,,,Offshore / regional maritime,,,High,20260805-UKMTO_WARNING_105.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000174,,ukmto_warnings_2026,106-26,2026-08-05,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 95NM southeast of Aden, Yemen. The Master of a tanker reported hearing a loud explosion in close proximity to the vessel. All crew accounted for and safe. There is no environmental impact reported. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260805-UKMTO_WARNING_106-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000175,,ukmto_warnings_2026,107-26,2026-08-05,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a time late report of an incident 9NM southeast of Kumzar, Oman. The Master of a tanker has reported hearing two explosions whilst transiting in the Strait of Hormuz. The report confirms that crew and vessel are safe. No environmental damage has been reported.",,,,Offshore / regional maritime,,,High,20260805-UKMTO_WARNING_107_26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000176,,ukmto_warnings_2026,108-26,2026-08-08,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 18NM east of Khasab, Oman. A verified source has reported that a vessel was struck by an unknown projectile which caused a fire that has been extinguished. There is no reported environmental impact. The vessel and crew are reported as safe.",,,,Offshore / regional maritime,,,High,20260808-UKMTO_WARNING_ATTACK_108_26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000177,,ukmto_warnings_2026,110-26,2026-08-11,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has been informed of an incident off the coast of Al Mokha, Yemen. It has been reported that a cargo vessel in the Southern Red Sea has been hit by an unknown projectile resulting in casualties. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260811- UKMTO_WARNING_110-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000178,,ukmto_warnings_2026,111-26,2026-08-14,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident in the Strait of Hormuz. UKMTO has received reports from Military Authorities that a tanker was struck by a Uncrewed Ariel Vehicle (UAV) whilst conducting an outbound transit of the Strait of Hormuz. The vessel was subject to minor damage, crew are reported as safe and accounted for and no environmental impact has been reported.",,,,Offshore / regional maritime,,,High,20260814_UKMTO_WARNING_111-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000179,,ukmto_warnings_2026,112-26,2026-08-14,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident in the Strait of Hormuz. UKMTO has received reports from Military Authorities that a tanker was struck by a Uncrewed Ariel Vehicle (UAV) whilst conducting an outbound transit of the Strait of Hormuz. The vessel was subject to minor damage, crew are reported as safe and accounted for and no environmental impact has been reported.",,,,Offshore / regional maritime,,,High,20260814_UKMTO_WARNING_112-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000180,,ukmto_warnings_2026,113-26,2026-08-15,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident in the Strait of Hormuz UKMTO has received a verified report of a Bulk carrier being struck by an unknown projectile which has hit the hull. The crew are reported safe, no damage assessment has been reported and environmental impact is unknown at present.",,,,Offshore / regional maritime,,,High,20260815_UKMTO_WARNING_113.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000181,,ukmto_warnings_2026,114-26,2026-08-17,Maritime Security Warning,Suspicious Activity,Suspicious / security incident,Maritime,,,,,,,,,,UKMTO has received a report of an incident 4NM south of MAREEYO SOMALIA. The CSO of a cargo vessel reports being boarded by 8 armed unauthorised persons who have taken control of the vessel.,,,,Offshore / regional maritime,,,Medium,20260817-UKMTO_WARNING_114_26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000182,,ukmto_warnings_2026,115-26,2026-08-18,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident in the Strait of Hormuz. The Company Security Officer has reported that the vessel was struck by an unknown projectile while conducting an outbound transit of the Strait of Hormuz. The impact caused damage to the engine room and resulted in a crew casualty. The remaining crew are currently being assisted by the Omani Coast Guard. At present, no environmental impact has been reported. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260818- UKMTO_WARNING_ATTACK_115-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000183,,ukmto_warnings_2026,116-26,2026-08-15,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,UKMTO has received a time late report of an incident in the Strait of Hormuz. A third party has reported that a bulk carrier was struck by an unknown projectile whilst conducting a transit of the Strait of Hormuz. The impact caused damage to the starboard side of the vessel and resulted in a crew casualty. There is no report of an environmental impact.,,,,Offshore / regional maritime,,,High,20260818-UKMTO_WARNING_116-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000184,,ukmto_warnings_2026,117-26,2026-08-17,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 40NM southeast of Al Mukha, Yemen. Local Authorities report a cargo ship being struck by multiple unknown projectiles. The cargo vessel was unmanned at the time of the incident; however, the damage has resulted in a complete constructive loss. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260818 -UKMTO_WARNING_117_26-1.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000185,,ukmto_warnings_2026,118-26,2026-08-20,Maritime Security Warning,Suspicious Activity,Suspicious / security incident,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 136NM east of Al Mukalla, Yemen. A tanker has broadcast a distress call on VHF 16 that they have been approached by an unauthorised vessel whilst travelling west in the Gulf of Aden. Update 001 – UKMTO have received confirmation that the tanker has been boarded by six armed persons who are now in control of the vessel and redirecting to Somalia. Authorities are investigating.",,,,Offshore / regional maritime,,,Medium,20260820-UKMTO_118-26_UPDATE-001.pdf,Needs canonical event resolution,Has Update: Yes; Latest Update: 001
OBS_000186,,ukmto_warnings_2026,119-26,2026-08-24,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 63NM west of Yanbu, Saudi Arabia. The Company Security Officer reported a tanker has been struck by unknown projectile causing a fire to the vessel on the main deck. All crew are safe and accounted for and no environmental impact has been reported.",,,,Offshore / regional maritime,,,High,20260824-UKMTO_WARNING_119-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000187,,ukmto_warnings_2026,120-26,2026-08-24,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 9NM northeast of Ash Shishah, Oman. The Master of an oil tanker reports the vessel has been struck by an unknown projectile causing damage to the engine room and disabling the vessel. Crew are reported safe. Environmental impact is unknown at time of report.",,,,Offshore / regional maritime,,,High,20260824-UKMTO_WARNING_120-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000188,,ukmto_warnings_2026,121-26,2026-08-25,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,UKMTO has received a report of an incident in the Strait of Hormuz. Local authorities have reported a tanker has been hit by an unknown projectile causing fire to the vessel which has since been extinguished. All crew are reported as safe and accounted for and there has been no report of environmental impact. Authorities are investigating.,,,,Offshore / regional maritime,,,High,20260827-UKMTO_ATTACK-121-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000189,,ukmto_warnings_2026,122-26,2026-08-29,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a time-late report of an incident 12NM north of Khasab, Oman. A tanker has been struck by an unknown projectile whilst transiting inbound in the Strait of Hormuz. No casualties or environmental impact are reported at this time. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260829-UKMTO_WARNING_122-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
OBS_000190,,ukmto_warnings_2026,124-26,2026-08-31,Maritime Security Warning,Attack,Conflict / maritime security attack,Maritime,,,,,,,,,,"UKMTO has received a report of an incident 17NM east of Khasab, Oman. A tanker has reported being struck by 3 unknown projectiles whilst completing an outbound transit of the Strait of Hormuz. No casualties or environmental impact has been reported. Authorities are investigating.",,,,Offshore / regional maritime,,,High,20260831-UKMTO_WARNING_124-26.pdf,Needs canonical event resolution,Has Update: No; Latest Update: 
